127.0.0.1, 2015-10-29 22:36:55, GET, /admin/static/_2.12.3/css/bootstrap.min.css, HTTP/1.1, 200, 0.012000
127.0.0.1, 2015-10-29 22:36:55, GET, /admin/static/_2.12.3/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.013000
127.0.0.1, 2015-10-29 22:36:55, GET, /admin/static/_2.12.3/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-10-29 22:36:55, GET, /admin/static/_2.12.3/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-29 22:36:55, GET, /admin/static/_2.12.3/js/bootstrap.min.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-10-29 22:36:55, GET, /admin/static/_2.12.3/images/questions.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-10-29 22:36:55, GET, /admin/static/_2.12.3/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-10-29 22:36:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-10-29 22:37:08, POST, /admin/default/index, HTTP/1.1, 303, 0.103000
127.0.0.1, 2015-10-29 22:37:08, GET, /admin/default/site, HTTP/1.1, 200, 0.164000
127.0.0.1, 2015-10-29 22:37:08, GET, /admin/static/_2.12.3/js/jquery.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2015-10-29 22:37:08, GET, /admin/static/_2.12.3/js/calendar.js, HTTP/1.1, 304, 0.005000
127.0.0.1, 2015-10-29 22:37:08, GET, /admin/static/_2.12.3/js/web2py.js, HTTP/1.1, 304, 0.005000
127.0.0.1, 2015-10-29 22:37:08, GET, /admin/static/_2.12.3/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.006000
127.0.0.1, 2015-10-29 22:37:08, GET, /admin/static/_2.12.3/plugin_multiselect/start.js, HTTP/1.1, 304, 0.006000
127.0.0.1, 2015-10-29 22:37:08, GET, /admin/static/_2.12.3/js/bootstrap.min.js, HTTP/1.1, 304, 0.005000
127.0.0.1, 2015-10-29 22:37:08, GET, /admin/static/_2.12.3/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.005000
127.0.0.1, 2015-10-29 22:37:08, GET, /admin/static/_2.12.3/images/folder_locked.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-10-29 22:37:08, GET, /admin/static/_2.12.3/images/folder.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-10-29 22:37:09, GET, /admin/static/_2.12.3/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-10-29 22:37:12, POST, /admin/default/check_version, HTTP/1.1, 200, 3.346000
127.0.0.1, 2015-10-29 22:37:27, GET, /admin/default/change_password, HTTP/1.1, 200, 0.063000
127.0.0.1, 2015-10-29 22:37:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-10-29 22:37:37, GET, /admin/default/site, HTTP/1.1, 200, 0.062000
127.0.0.1, 2015-10-29 22:37:59, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2015-10-29 22:37:59, POST, /admin/default/site, HTTP/1.1, 303, 0.297000
127.0.0.1, 2015-10-29 22:38:00, GET, /admin/default/design/hello, HTTP/1.1, 200, 0.609000
127.0.0.1, 2015-10-29 22:38:00, GET, /admin/static/_2.12.3/images/search.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-10-29 22:38:00, GET, /admin/static/_2.12.3/images/help.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-29 22:38:00, GET, /admin/static/_2.12.3/images/test_icon.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-10-29 22:38:00, GET, /admin/static/_2.12.3/images/delete_icon.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-29 22:38:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-10-29 22:38:30, GET, /hello, HTTP/1.1, 200, 0.737000
127.0.0.1, 2015-10-29 22:38:30, GET, /hello/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-10-29 22:38:30, GET, /hello/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-29 22:38:30, GET, /hello/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.025000
127.0.0.1, 2015-10-29 22:38:30, GET, /hello/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.031000
127.0.0.1, 2015-10-29 22:38:30, GET, /hello/static/js/jquery.js, HTTP/1.1, 200, 0.014000
127.0.0.1, 2015-10-29 22:38:30, GET, /hello/static/js/calendar.js, HTTP/1.1, 200, 0.012000
127.0.0.1, 2015-10-29 22:38:30, GET, /hello/static/css/calendar.css, HTTP/1.1, 200, 0.012000
